2023,01,190,404-555-1090,15.71,375,186
2023,01,191,404-555-1091,86.96,534,619
2023,01,192,404-555-1092,80.54,539,482
2023,01,193,404-555-1093,47.86,506,271
2023,01,194,404-555-1094,91.80,367,991
2023,01,195,404-555-1095,75.95,772,25
2023,01,196,404-555-1096,49.02,231,390
2023,01,197,404-555-1097,88.56,70,623
2023,01,198,404-555-1098,93.79,598,116
2023,01,199,404-555-1099,72.92,627,331
2023,01,200,404-555-1100,46.25,50,370
2023,01,201,404-555-1101,18.87,115,739
2023,01,202,404-555-1102,14.50,164,673
2023,01,203,404-555-1103,71.71,503,318
2023,01,204,404-555-1104,11.74,48,222
2023,01,205,404-555-1105,47.88,543,514
2023,01,206,404-555-1106,80.35,321,210
2023,01,207,404-555-1107,80.79,580,729
2023,01,208,404-555-1108,4.65,975,356
2023,01,209,404-555-1109,18.62,348,203
2023,01,210,404-555-1110,4.65,675,144
2023,01,211,404-555-1111,7.55,719,856
2023,01,212,404-555-1112,0.96,53,199
2023,01,213,404-555-1113,42.55,521,580
2023,01,214,404-555-1114,75.66,57,504
2023,01,215,404-555-1115,86.70,439,776
2023,01,216,404-555-1116,65.29,223,835
2023,01,217,404-555-1117,19.23,440,717
2023,01,218,404-555-1118,83.04,486,883
2023,01,219,404-555-1119,60.79,188,621
