2023,01,130,404-555-1030,1.65,499,323
2023,01,131,404-555-1031,5.67,963,133
2023,01,132,404-555-1032,4.52,884,968
2023,01,133,404-555-1033,74.04,216,148
2023,01,134,404-555-1034,10.09,611,628
2023,01,135,404-555-1035,28.18,975,853
2023,01,136,404-555-1036,66.64,79,620
2023,01,137,404-555-1037,93.54,565,357
2023,01,138,404-555-1038,57.53,819,786
2023,01,139,404-555-1039,4.68,59,665
2023,01,140,404-555-1040,92.19,136,43
2023,01,141,404-555-1041,28.02,35,135
2023,01,142,404-555-1042,74.00,552,478
2023,01,143,404-555-1043,15.88,486,717
2023,01,144,404-555-1044,50.01,556,124
2023,01,145,404-555-1045,54.25,352,991
2023,01,146,404-555-1046,41.60,192,703
2023,01,147,404-555-1047,75.96,747,348
2023,01,148,404-555-1048,0.83,775,508
2023,01,149,404-555-1049,5.74,184,913
2023,01,150,404-555-1050,31.39,805,681
2023,01,151,404-555-1051,76.67,498,233
2023,01,152,404-555-1052,28.24,587,128
2023,01,153,404-555-1053,7.16,389,634
2023,01,154,404-555-1054,4.42,234,737
2023,01,155,404-555-1055,96.10,38,53
2023,01,156,404-555-1056,99.32,110,610
2023,01,157,404-555-1057,25.85,979,639
2023,01,158,404-555-1058,36.30,804,512
2023,01,159,404-555-1059,97.90,786,486
